id;EP_indicator;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name;value;unit;internal comments;;;;
185;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - H2 etc.;0.0;;;;;;
186;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Biofuel;0.0;;;;;;
187;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Boiler3;Boiler3 - Nucl/CCS;0.0;;;;;;
188;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Coal;159.32;;;;;;
189;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Oil;24.19;;;;;;
190;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - N.Gas;89.69;;;;;;
191;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biomass;21.83;;;;;;
192;pes;Renewable;VRES;RES;Primary energy supply;;;PP;PP - Renewable;0.0;;;;;;
193;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - H2 etc.;0.0;;;;;;
194;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biofuel;0.0;;;;;;
195;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Nucl/CCS;0.0;;;;;;
196;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;Geo/Nu.;Geo/Nu. - Coal;0.0;;;;;;
197;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;Geo/Nu.;Geo/Nu. - Oil;0.0;;;;;;
198;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;Geo/Nu.;Geo/Nu. - N.Gas;0.0;;;;;;
199;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;Geo/Nu.;Geo/Nu. - Biomass;0.0;;;;;;
200;pes;Geothermal;Geothermal;RES;Primary energy supply;Electricity;Geothermal;Geothermal;Geo/Nu. - Renewable;1.14;;Disaggregate or rename to geothermal;;;;
201;pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;Geo/Nu.;Geo/Nu. - H2 etc.;0.0;;;;;;
202;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;Geo/Nu.;Geo/Nu. - Biofuel;0.0;;;;;;
203;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Electricity;Nuclear plants;Nuclear;Geo/Nu. - Nucl/CCS;256.36;;;;;;
204;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;Hydro;Hydro - Coal;0.0;;;;;;
205;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;Hydro;Hydro - Oil;0.0;;;;;;
206;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;Hydro;Hydro - N.Gas;0.0;;;;;;
207;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;Hydro;Hydro - Biomass;0.0;;;;;;
208;pes;Renewable;VRES;RES;Primary energy supply;;;Hydro;Hydro - Renewable;3.33;;;;;;
209;pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;Hydro;Hydro - H2 etc.;0.0;;;;;;
210;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;Hydro;Hydro - Biofuel;0.0;;;;;;
211;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Hydro;Hydro - Nucl/CCS;0.0;;;;;;
212;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;Waste;Waste - Coal;0.0;;;;;;
213;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;Waste;Waste - Oil;0.0;;;;;;
214;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;Waste;Waste - N.Gas;0.0;;;;;;
215;pes;Waste;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Waste incineration;Waste;Waste - Biomass;47.7;;;;;;
216;pes;Renewable;VRES;RES;Primary energy supply;;;Waste;Waste - Renewable;0.0;;;;;;
217;pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;Waste;Waste - H2 etc.;0.0;;;;;;
218;pes;Waste;Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;Waste to biofuel;Waste;Waste - Biofuel;0.0;;;;;;
219;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Waste;Waste - Nucl/CCS;0.0;;;;;;
