EP_ind;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name
summary;;;Electricity supply;Consumption;Electricity consumption;Electrict heating;Electric boilers;HH-HP/EB Electr.
summary;;;Electricity supply;Heating supply;Electricity consumption;Electric heating;Electric boilers;HH-EB Electr.
summary;;;Electricity;Consumption;Individual heating supply;;;HH-H2 Electr.
summary;;;Fuel storage;Fuel storage;Fuel storage;Fuel storage;Hydrogen storage;HH-H2 Storage
summary;;;;Price;;;;HH-H2 Prices
summary;;;Individual heating supply;Consumption;Individual heating demand;;;HH Dem. Heat
summary;;;Individual supply;Heating supply;Individual heating supply;Indv. CHP & HPs;;HH CHP+HP Heat
summary;;;Individual supply;Heating supply;Individual heating supply;Boilers;;HH Boil. Heat
summary;Solar thermal;VRES;Individual supply;Heating supply;Individual heating supply;Solar thermal;;HH Solar Heat
summary;;;Thermal storage;Thermal storage;Thermal storage;Thermal storage;Indv. Thermal storage;HH Store Heat
summary;;;Individual supply;Balance;Individual heating demand;;;HH Balan Heat
summary;;;Import;Electricity balance;Electricity;Import electr.;Import electr.;Import Electr.
summary;;;Electricity;Electricity balance;Excess electricity;Total exportable excess electricity;Total excess electr. ;Export Electr.
summary;;;Excess electricity;Electricity balance;Excess electricity;Critical excess electr.;CEEP;CEEP Electr.
summary;;;Excess electricity;Electricity balance;Excess electricity;Export electr.;Export electr.;EEEP Electr.
summary;;;;Price;;;;ExMarket Prices
summary;;;;Supply;;;;ExMarket Prod
summary;;;;Supply;;;;System Prices
summary;;;;Supply;;;;InMarket Prices
summary;;;;Supply;;;;Btl-neck Prices
summary;;;;Supply;;;;Import Payment
summary;;;;Supply;;;;Export Payment
summary;;;;Supply;;;;Blt-neck Payment
summary;;;;Supply;;;;Add-exp Payment
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Boilers 
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;CHP2+3 
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;PP CAES
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Indi- vidual
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Transp. 
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Indust. Various
summary;;;;Consumption;;Natural gas exchange;;Demand Sum
summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;Biogas 
